Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2020-01-02,2680.163818359375,2680.163818359375,2649.77640908183,2674.086303860647,45886302
2020-01-03,2686.24072265625,2698.3957496311305,2668.0083454099963,2686.24072265625,91189705
2020-01-06,2655.8544921875,2668.009360571166,2625.467076404141,2649.776976387602,48648450
2020-01-07,2674.0859375,2680.1634511660836,2661.9310733839043,2680.1634511660836,114344885
2020-01-08,2661.93115234375,2674.0860168203903,2637.621260174392,2661.93115234375,188929583
2020-01-09,2674.0859375,2686.2408016160953,2655.8535597178206,2674.0859375,79280569
2020-01-10,2680.163818359375,2692.318684140736,2668.008789361919,2692.318684140736,137292491
2020-01-13,2740.938720703125,2740.938720703125,2686.241411717614,2692.3189267640287,122488655
2020-01-14,2777.403076171875,2795.635618630283,2747.0158318400327,2759.1708601456376,174258629
2020-01-15,2783.48095703125,2783.48095703125,2753.0937086960735,2777.4034420777716,112825318
2020-01-16,2777.403076171875,2789.5581044774804,2740.9383176872298,2777.403076171875,147387255
2020-01-17,2813.86767578125,2819.945189590907,2795.635460784432,2807.7901619715935,133295352
2020-01-20,2832.100341796875,2850.332557595745,2813.867799565838,2850.332557595745,90022804
2020-01-21,2838.177734375,2844.2552481918415,2819.945192924476,2838.177734375,81224962
2020-01-22,2862.487548828125,2862.487548828125,2838.1778192658003,2844.255333264422,90609115
2020-01-23,2880.720458984375,2892.8751621028455,2850.332885107689,2868.5654294337005,153849977
2020-01-24,2880.720458984375,2886.7979737597125,2844.255696764556,2874.642944209038,105620964
2020-01-27,2826.0234375,2856.410688009649,2819.9459221116226,2856.410688009649,103076840
2020-01-28,2807.79052734375,2819.9455565447734,2777.4032807733865,2783.480795373898,104935872
2020-01-29,2807.79052734375,2832.100585745797,2795.6358245749216,2807.79052734375,214362682
2020-01-30,2783.48095703125,2856.4104836085585,2783.48095703125,2856.4104836085585,96500596
2020-01-31,2710.551025390625,2783.480708676935,2710.551025390625,2777.40319426572,150763654
2020-02-03,2710.551025390625,2728.7834054081795,2704.4736741955016,2710.551025390625,144745560
2020-02-04,2771.325439453125,2850.3324670810157,2747.015710349219,2850.3324670810157,123617275
2020-02-05,2771.325439453125,2783.4804672211562,2740.9381964652034,2777.402953337141,100395764
2020-02-06,2765.248046875,2789.558103477496,2753.093345005923,2789.558103477496,104342852
2020-02-07,2765.248046875,2783.480589326872,2759.1708591565466,2783.480589326872,146349277
2020-02-10,2734.86083984375,2753.093382544222,2674.0861871571065,2734.86083984375,187982906
2020-02-11,2740.938720703125,2759.1712658423685,2722.7063387799913,2759.1712658423685,93666727
2020-02-12,2753.093505859375,2771.32572294432,2747.0159913536636,2747.0159913536636,143167912
2020-02-13,2777.403076171875,2789.5581044774804,2759.1708601456376,2783.4805903246775,87683284
2020-02-14,2765.248046875,2789.558103477496,2753.093345005923,2753.093345005923,139707803
2020-02-17,2716.628662109375,2759.1711016871295,2716.628662109375,2722.7061767942114,131738165
2020-02-18,2674.0859375,2734.8605845126212,2674.0859375,2716.628206730442,97565635
2020-02-19,2722.705810546875,2722.705810546875,2704.4734321610113,2710.5507828122477,110893685
2020-02-20,2771.325439453125,2783.4804672211562,2740.9381964652034,2747.015710349219,108000305
2020-02-21,2740.938720703125,2771.3259695029788,2740.938720703125,2771.3259695029788,117658802
2020-02-24,2728.783203125,2759.1707729284644,2716.6283384196945,2759.1707729284644,113200755
2020-02-25,2734.86083984375,2765.2480845790283,2710.5509461258753,2710.5509461258753,125324724
2020-02-26,2722.705810546875,2740.9381889327387,2716.6282966795616,2734.8606750654253,164120194
2020-02-27,2607.908935546875,2765.772665995645,2601.5943388456535,2765.772665995645,227877075
2020-02-28,2645.796142578125,2645.796142578125,2468.9887938815345,2519.505058092626,211162617
2020-03-02,2513.1904296875,2652.110526699088,2513.1904296875,2645.79593058499,206428685
2020-03-03,2588.965087890625,2639.4815212112,2525.8196310314597,2557.392444252596,218258509
2020-03-04,2664.73974609375,2677.368769671308,2607.9088856200774,2614.223312617303,127937929
2020-03-05,2620.537841796875,2715.2561097332637,2607.908818544138,2708.941513315344,146949558
2020-03-06,2532.13427734375,2557.3924945003114,2525.819680658832,2551.0778978153935,175334118
2020-03-09,2367.956298828125,2494.2474031821725,2367.956298828125,2462.674584697877,163934401
2020-03-10,2468.989013671875,2544.76350152554,2386.899759052907,2386.899759052907,182576203
2020-03-11,2468.989013671875,2544.76350152554,2450.0453917084587,2494.2472328174713,195275262
2020-03-12,2279.55224609375,2424.786950483512,2273.2376494899063,2412.1577572758247,167137546
2020-03-13,2349.012451171875,2380.5852666400497,2121.6886546337505,2279.552392808386,295725807
2020-03-16,2210.09228515625,2367.956019810268,2184.834067261633,2367.956019810268,196265939
2020-03-17,2058.54296875,2254.293928468895,2058.54296875,2210.092093384528,229429422
2020-03-18,1982.7681884765625,2172.2047087343085,1951.1955481556643,2064.857426393694,272919333
2020-03-19,1850.162841796875,1982.768348871082,1850.162841796875,1976.453922045955,151744210
2020-03-20,1774.3883056640625,1875.4211762415032,1723.8720399584554,1850.162958597143,658210668
2020-03-23,1654.411865234375,1704.9282969017836,1654.411865234375,1673.355484713878,180848183
2020-03-24,1540.7501220703125,1736.5011010082856,1540.7501220703125,1629.1538009186304,544651637
2020-03-26,1856.4774169921875,1894.3646558424443,1578.637213202037,1578.637213202037,698059077
